#HJD-2450000,#v_p(km/s),#v_s (km/s),#Phase
3179.53692,19.63,141.32,0.2651
3179.58097,19.89,140.94,0.2706
3876.68298,20.77,139.29,0.2126
3584.61769,22.07,139.5,0.2054
3520.65104,24.98,135.92,0.3193
3877.69367,27.88,132.3,0.3372
3178.66358,29.01,131.01,0.1575
3066.84849,36.52,124.14,0.3724
3180.56655,41.3,117.88,0.3921
3875.82534,41.97,118,0.1069
2739.75576,59.89,95.5,0.0468
3176.56691,113.41,41.07,-0.101
3206.63502,115.5,40.27,-0.3941
3068.87513,120.2,35.7,-0.3778
3516.81108,128.63,28.23,-0.1541
3816.84529,129.94,25.27,-0.1645
2736.81,132.56,20.83,-0.3163
2737.79423,133.76,18.75,-0.195
2867.4915,136.52,18.98,-0.2053
3183.5794,138.06,16.72,-0.2365
3183.53414,138.3,16.66,-0.2421
